soc,fcKwOutAch,fcKwInAch,essKwOutAch,speed,speedAch,mpg,fc,mcMechKwOutAch,fc_sum
0.0,0.0,0.0,0.0,0.0,0.0,154.49293772522077,0.0,0.0,0.0
0.6,0.0,0.0,0.0,0.0,0.0,154.49293772522077,0.0,0.0,0.0
0.6,0.0,0.0,0.0,0.0,0.0,154.49293772522077,0.0,0.0,0.0
0.6,3.6539447809980707,20.88144136599964,-0.0,0.894094506,0.894094506,154.49293772522077,0.0004603492364638368,-2.5525977371861686,0.0004603492364638368
0.6,0.0,0.0,0.0,2.190531539,2.190531539,154.49293772522077,0.0,5.391528773056794,0.0004603492364638368
0.6,0.0,0.0,0.0,3.621082748,3.621082748,154.49293772522077,0.0,11.170409514381225,0.0004603492364638368
0.6,0.0,0.0,0.0,5.051633958,5.051633958,154.49293772522077,0.0,16.706537718774662,0.0004603492364638368
0.6,0.0,0.0,0.0,6.482185167,6.482185167,154.49293772522077,0.0,22.286339574003183,0.0004603492364638368
0.6,0.0,0.0,0.0,7.733917475,7.733917475,154.49293772522077,0.0,24.31486151921715,0.0004603492364638368
0.6,0.0,0.0,0.0,8.762126157,8.762126157,154.49293772522077,0.0,23.6115307047091,0.0004603492364638368
0.6,0.0,0.0,0.0,9.745630113,9.745630113,154.49293772522077,0.0,25.565191992034304,0.0004603492364638368
0.6,0.0,0.0,0.0,10.72913407,10.72913407,154.49293772522077,0.0,28.443234261016713,0.0004603492364638368
0.6,0.0,0.0,0.0,11.53381912,11.53381912,154.49293772522077,0.0,26.004319201701612,0.0004603492364638368
0.6,0.0,0.0,0.0,12.11498055,12.11498055,154.49293772522077,0.0,21.008841118670713,0.0004603492364638368
0.6,0.0,0.0,0.0,12.51732308,12.51732308,154.49293772522077,0.0,16.362491840588383,0.0004603492364638368
0.6,0.0,0.0,0.0,12.96437033,12.96437033,154.49293772522077,0.0,18.496541980823956,0.0004603492364638368
0.6,0.0,0.0,0.0,13.41141759,13.41141759,154.49293772522077,0.0,19.270929142444956,0.0004603492364638368
0.6,0.0,0.0,0.0,13.72435066,13.72435066,154.49293772522077,0.0,15.27944036944912,0.0004603492364638368
0.6,0.0,0.0,0.0,14.08198847,14.08198847,154.49293772522077,0.0,17.35374236500342,0.0004603492364638368
0.6,0.0,0.0,0.0,14.39492154,14.39492154,154.49293772522077,0.0,16.25236705656074,0.0004603492364638368
0.6,0.0,0.0,0.0,14.70785462,14.70785462,154.49293772522077,0.0,16.71709280954251,0.0004603492364638368
0.6,0.0,0.0,0.0,14.97608297,14.97608297,154.49293772522077,0.0,15.45573839514887,0.0004603492364638368
0.6,0.0,0.0,0.0,15.24431132,15.24431132,154.49293772522077,0.0,15.834631493420872,0.0004603492364638368
0.6,0.0,0.0,0.0,15.46783495,15.46783495,154.49293772522077,0.0,14.428630435842544,0.0004603492364638368
0.6,0.0,0.0,0.0,15.60194913,15.60194913,154.49293772522077,0.0,11.110057155448557,0.0004603492364638368
0.6,0.0,0.0,0.0,15.69135858,15.69135858,154.49293772522077,0.0,9.443425996731005,0.0004603492364638368
0.6,0.0,0.0,0.0,15.95958693,15.95958693,154.49293772522077,0.0,16.87142742094338,0.0004603492364638368
0.6,0.0,0.0,0.0,16.04899638,16.04899638,154.49293772522077,0.0,9.807870338667975,0.0004603492364638368
0.6,0.0,0.0,0.0,16.00429165,16.00429165,154.49293772522077,0.0,4.326619324182217,0.0004603492364638368
0.6002445478652058,0.0,0.0,-1.7877653073240594,15.78076803,15.78076803,154.49293772522077,0.0,-2.6914885968518347,0.0004603492364638368
0.6003088090330437,0.0,0.0,-0.4697807783851663,15.60194913,15.60194913,154.49293772522077,0.0,-1.140918562806078,0.0004603492364638368
0.600378859574792,0.0,0.0,-0.5121039522935102,15.42313022,15.42313022,154.49293772522077,0.0,-1.1907105321100122,0.0004603492364638368
0.6003765074513407,0.0,0.0,0.016679325170873262,15.46783495,15.46783495,154.49293772522077,0.0,7.474515389126644,0.0004603492364638368
0.6003736438865255,0.0,0.0,0.02030604672391571,15.5572444,15.5572444,154.49293772522077,0.0,9.309310673176366,0.0004603492364638368
0.6003702845370558,0.0,0.0,0.023821743768583564,15.69135858,15.69135858,154.49293772522077,0.0,11.209703095943857,0.0004603492364638368
0.600365397048748,0.0,0.0,0.03465804769271685,15.95958693,15.95958693,154.49293772522077,0.0,16.87142742094338,0.0004603492364638368
0.6003614795400104,0.0,0.0,0.02777975027565278,16.13840583,16.13840583,154.49293772522077,0.0,13.528821388222507,0.0004603492364638368
0.6003590524252403,0.0,0.0,0.017211101932219555,16.18311055,16.18311055,154.49293772522077,0.0,8.120328344752766,0.0004603492364638368
0.6003556264527306,0.0,0.0,0.02429417957900282,16.31722473,16.31722473,154.49293772522077,0.0,11.924632943347293,0.0004603492364638368
0.600352695293961,0.0,0.0,0.020785367459727283,16.40663418,16.40663418,154.49293772522077,0.0,10.18238889113619,0.0004603492364638368
0.6003497622698974,0.0,0.0,0.020798594589780953,16.49604363,16.49604363,154.49293772522077,0.0,10.277619006135406,0.0004603492364638368
0.6003473211960452,0.0,0.0,0.017310088263468144,16.54074836,16.54074836,154.49293772522077,0.0,8.45838193707301,0.0004603492364638368
0.6003453864544713,0.0,0.0,0.013719596143274388,16.54074836,16.54074836,154.49293772522077,0.0,6.586209558500686,0.0004603492364638368
0.6003434624903133,0.0,0.0,0.013643171573346264,16.54074836,16.54074836,154.49293772522077,0.0,6.586209558500686,0.0004603492364638368
